Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,Qty2,Qty3,
1276-1002-1-ND,TDK,CL05B104KP5NNNC,C16/C19/C21/C24/C25/C26/C28/C29/C30/C34/C35/C40/C44/C45/C46/C50/C51/C52/C53,19,95,475,
445-4996-1-ND,TDK,C1005X5R0J474K050BB,C12/C13/C14/C15/C32/C33/C37/C38/C39/C42/C43/C48/C49,13,65,325,
587-1840-1-ND,Taiyo Yuden,BK1005HS100-T,FB1/FB2,2,10,50,
P1.00KLCT-ND,Panasonic,ERJ-2RKF1001X,R4/R13/R15/R23,4,20,100,
P2.20KLCT-ND,Panasonic,ERJ-2RKF2201X,R8,1,5,25,
1276-6207-1-ND,Samsung,CIG22E1R0MNE,L1/L2,2,10,50,
P2.40KLCT-ND,Panasonic,ERJ-2RKF2401X,R21,1,5,25,
P4.70KLCT-ND,Panasonic,ERJ-2RKF4701X,R12/R16/R18/R24,4,20,100,
122-1747-ND,Xilinx,XC6SLX9-3TQG144C,U2,1,5,25,
SMAJ6.0ALFCT-ND,Littlefuse,SMAJ6.0A,D1,1,5,25,
P10.0KLCT-ND,Panasonic,ERJ-2RKF1002X,R5/R6/R7/R10/R11/R14/R17/R22/R25,9,45,225,
1276-1119-1-ND,Samsung,CL10A106MQ8NNNC,C5/C6,2,10,50,
P12.0KLCT-ND,Panasonic,ERJ-2RKF1202X,R9,1,5,25,
535-12071-1-ND,Abracon,ASCO-20.000MHZ-EK-T3,U6,1,5,25,
1276-1153-1-ND,Samsung,CL05C270JB5NNNC,C18/C23,2,10,50,
741C083510JPCT-ND,CTS,741C083510JP,RN1/RN2/RN4/RN5,4,20,100,
93LC46BT-I/OTCT-ND,Microchip Technology,93LC46BT-I/OT,U3,1,5,25,
P100JCT-ND,Panasonic,ERJ-2GEJ101X,R19/R20,2,10,50,
741C083104JPCT-ND,CTS,741C083104JP,RN3,1,5,25,
P100KLCT-ND,Panasonic,ERJ-2RKF1003X,R1/R2/R3,3,15,75,
1276-1782-1-ND,Samsung,CL31A107MQHNNNE,C3/C4,2,10,50,
CTX839CT-ND,CTS,403C35D12M00000,Y1,1,5,25,
S1012EC-40-ND,Sullins,PREC040SAAN-RC,BOM-ENTRY1,1,5,25,
768-1024-1-ND,FTDI,FT2232HL-REEL,U4,1,5,25,
160-1446-1-ND,Lite-On,LTST-C191KGKT,LED1,1,5,25,
609-4614-1-ND,FCI,10029449-111RLF,X2/X3/X4,3,15,75,
M25P80-VMN6TPCT-ND,Micron,M25P80-VMN6TP,U9,1,5,25,
576-3278-1-ND,Micrel,MIC2230-S4YML TR,U1,1,5,25,
P16274CT-ND,Panasonic,ENW-89841A3KF,U11,1,5,25,
CP-037A-ND,CUI,PJ-037A,J1,1,5,25,
S5520-ND,Sullins,PPTC062LJBN-RC,X5/X6,2,10,50,
S9001-ND,Sullins,SPC02SYAN,JP1/JP2/JP3,3,15,75,
296-29690-1-ND,TI,TPD12S016PWR,U5/U8/U10,3,15,75,
296-21930-1-ND,TI,TXB0104RGYR,U7,1,5,25,
609-4613-1-ND,FCI,10118192-0001LF,X1,1,5,25,
399-3482-1-ND,Kemet,C0603C475K9PACTU,C1/C2/C7/C8/C9/C10/C11/C17/C20/C22/C27/C31/C36/C41/C47,15,75,375,
